Office,PxX,PxY
"APRO, Thailand",769.2,235.9
Afghanistan,672.3,169.8
Albania,549.6,150.2
Angola,546.6,309.5
Argentina,336.1,389.1
Armenia,612.6,154.3
Bangladesh,738.4,204.7
Barbados,340.9,236.1
Belarus,564.5,114.3
Bhutan,736.1,192.3
Bolivia,329.2,326.0
Bosnia and Herzegovina,543.5,141.5
Botswana,564.5,344.7
Brazil,347.2,305.6
Burkina Faso,494.9,239.2
Burundi,580.9,286.0
Cambodia,780.7,237.5
Central African Republic,555.7,256.9
Chad,548.1,236.5
Colombia,304.4,262.4
Comoros,616.0,311.5
Cote D'Ivoire,482.9,251.9
Croatia,539.7,139.5
Democratic Republic of Congo,562.3,287.8
Djibouti,613.9,240.1
Dominican Republic,313.0,219.0
"ECARO, Switzerland",519.8,133.7
Ecuador,287.9,281.1
Egypt,582.4,190.1
Equatorial Guinea,527.1,271.3
Eritrea,605.7,231.2
Eswatini,582.3,357.0
Ethiopia,605.3,248.7
Fiji (Pacific Islands),973.1,330.3
Gambia,459.1,234.9
Georgia,606.4,147.3
Ghana,497.4,250.8
Greece,557.5,154.7
Guatemala,259.3,228.7
Guinea,470.5,244.3
Guinea Bissau,459.3,239.6
Guyana,341.4,262.4
Haiti,307.1,218.6
Honduras,269.6,231.1
India,719.7,203.0
Indonesia,827.6,282.3
Iran,636.1,174.3
Iraq,613.5,174.1
Jamaica,294.6,220.6
Jordan,594.5,181.1
Kazakhstan,655.4,132.3
Kenya,601.9,272.7
Kosovo,551.3,146.4
Kosovo (UN SC resolution 1244),551.3,146.4
Lao People's Dem Rep.,775.3,220.3
Lebanon,591.5,173.0
Lesotho,573.5,366.4
Liberia,475.4,255.5
Libya,543.2,189.2
"MENARO, Jordan",594.5,181.1
Madagascar,624.8,331.0
Malawi,591.1,315.5
Malaysia,809.1,264.9
Mali,484.5,233.1
Mexico,228.9,203.3
Moldova,567.9,132.9
Mongolia,749.2,132.4
Myanmar,757.3,215.1
Namibia,547.3,341.9
Nepal,719.9,190.0
Nicaragua,272.7,236.2
Niger,523.3,228.9
Nigeria,522.4,246.4
North Macedonia,553.2,149.0
Pakistan,679.2,182.2
"Palestine, State of",590.6,179.0
Papua New Guinea,892.9,299.8
Paraguay,348.5,347.2
Peru,300.9,299.8
Philippines,824.9,229.2
Rep of Uzbekistan,661.2,150.6
Republic of Cameroon,535.4,255.0
Republic of Kyrgyzstan,682.4,150.0
Republic of Mozambique,593.0,330.2
Rwanda,580.6,282.2
"Solomon, Republic of Marshall Islands",927.6,300.2
Somalia,626.1,256.1
South Africa,564.2,363.4
South Sudan,580.9,251.7
Sri Lanka,717.3,252.8
Sudan,578.5,237.0
Syria,596.4,168.9
Tajikistan,677.1,158.6
Thailand,769.2,235.9
Timor-Leste,838.1,302.8
Togo,502.3,249.0
Tunisia,525.1,172.3
Turkmenistan,645.7,156.1
Uganda,586.1,272.0
Ukraine,571.9,128.0
United Rep. of Tanzania,592.3,296.1
Venezuela,320.3,254.1
Vietnam,782.0,225.1
Yemen,623.9,228.8
Zambia,574.8,315.3
Zimbabwe,578.7,333.7
